ident,date,object_title,object_id,legacy_object_id,status,message,output__123702788__COL$A,output__123702788__COL$B,output__123702788__COL$C,output__123702788__COL$D,output__123702788__COL$E,output__123702788__COL$F,output__123702788__COL$G,output__123702788__COL$H,output__123702788__COL$I,output__123702788__id,output__123702788__row
009c25b2-e229-a7ce-ae93-cb27fd8ddea1,2021-05-29T20:37:08.444807+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,6199.00,"gender:Женский|Размер:98|Цвет:Бежевый|Пол:Женский|Возраст:Детский|Материал:Полиэстер-95%, Эластан-5%",https://www.bebakids.ru/upload/iblock/m/d39/160873_395_1.jpeg,2499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-g1359-gaialuna-395%2F%3Fsize%3D98,Gaialuna,4054,4054
009c25b2-21ed-a370-9423-d4eb269cefe1,2021-05-29T20:37:08.340113+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Толстовки",,Толстовка,6999.00,gender:Мужской|Размер:104|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/1d8/134154_256_1.jpeg,1999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ftolstovka-811ju64039-gaudi-256%2F%3Fsize%3D104,Gaudi,4055,4055
009c25b2-2362-a834-b6c2-228ed81da4a1,2021-05-29T20:37:08.261085+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Костюмы и форма",,Брюки,3699.00,"gender:Мужской|Размер:158|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Полиэстер-84%, Вискоза-16%",https://www.bebakids.ru/upload/iblock/m/8db/155784_61_1.jpeg,2599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-ssfsb-829-16002-330-silver-spoon-61%2F%3Fsize%3D158,Silver Spoon,4056,4056
009c25b2-e938-a608-9a58-f9a8e36f4941,2021-05-29T20:37:08.169172+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Рубашки",,Сорочка,2699.00,"gender:Мужской|Размер:122|Цвет:Голубой|Пол:Мужской|Возраст:Детский|Материал:Хлопок-75%, Полиэстер-25%",https://www.bebakids.ru/upload/iblock/m/7e2/155644_61_1.jpeg,1899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsorochka-ssfsb-829-13830-304-silver-spoon-61%2F%3Fsize%3D122,Silver Spoon,4057,4057
009c25b2-9330-afb2-9349-4349d85d4631,2021-05-29T20:37:08.098507+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Аксессуары/Галстуки",,Бабочка,999.00,"gender:Женский|Размер:UNI|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Хлопок-53%, Полиэстер-45%, Лайкра-2%",https://www.bebakids.ru/upload/iblock/m/8b2/117087_7_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbabochka-rombiki-s-koronoy-29518-215-noble-people-7%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People,4058,4058
009c25b2-563c-aad7-9ebb-987d4a9a3361,2021-05-29T20:37:08.004384+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Аксессуары/Галстуки",,Бабочка,999.00,"gender:Женский|Размер:UNI|Цвет:Красный|Пол:Женский|Возраст:Детский|Материал:Полиэстер-65%, Хлопок-30%, Лайкра-5%",https://www.bebakids.ru/upload/iblock/m/09e/117079_1464_1.jpeg,299.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbabochka-s-podveskoy-kristall-29518-207-noble-people-1464%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People,4059,4059
009c25b2-3a3d-a4c8-9224-206c0dba5201,2021-05-29T20:37:07.935917+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Аксессуары/Галстуки",,Галстук-бант,599.00,gender:Женский|Размер:UNI|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/888/161666_61_1.jpeg,499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fgalstuk-bant-ssfsg-825-27905-111-silver-spoon-61%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Silver Spoon,4060,4060
009c25b2-dd09-ab9b-a8fe-6c71ac3eab71,2021-05-29T20:37:07.829223+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Свитеры и кофты",,Свитшот,3699.00,"gender:Женский|Размер:128|Цвет:Черный|Пол:Женский|Возраст:Детский|Материал:Хлопок-97%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/c86/151495_3261_1.jpeg,1199.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsvitshot-y11511-y-clu-3261%2F%3Fsize%3D128,Y-clu',4061,4061
009c25b2-9498-a93e-80df-67762d048241,2021-05-29T20:37:07.715150+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Юбки",,Юбка,2799.00,"gender:Женский|Размер:80|Цвет:Розовый|Пол:Женский|Возраст:Для малышей|Материал:Полиэстер-80%, Хлопок-20%",https://www.bebakids.ru/upload/iblock/m/149/137142_245_1.jpeg,899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fyubka-yn11286-y-clu-245%2F%3Fsize%3D80,Y-clu',4062,4062
009c25b2-e747-aa70-918d-94217a1ae2d1,2021-05-29T20:37:07.608562+00:00,Google Sheets → Adalo,123702788,,throttled,,"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Шарфы",,Снуд,2599.00,"gender:Женский|Размер:UNI|Цвет:Белый|Пол:Женский|Возраст:Детский|Материал:Шерсть-40%, Вискоза-30%, Полиамид-20%, Кашемир-10%",https://www.bebakids.ru/upload/iblock/m/351/174219_9_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsnud-smile-29515-20961c-noble-people-9%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9,Noble People,4063,4063
