categoryId,description,name,oldprice,param,picture,price,url,vendor
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Комбинезоны",,Брюки,2999.00,gender:Мужской|Размер:92|Цвет:Синий|Пол:Мужской|Возраст:Для малышей|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/c8c/140229_4_1.jpeg,999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-bebi-18601-177-noble-people-4%2F%3Fsize%3D92,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Шапка,4399.00,"gender:Женский|Размер:54-58|Цвет:Желтый|Пол:Женский|Возраст:Детский|Материал:Полиамид-28%, Акрил-27%, Шерсть-18%, Вискоза-18%, Мохер-6%, Полиэстер-3%",https://www.bebakids.ru/upload/iblock/m/2ba/153433_2721_1.jpeg,1399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fshapka-rnb-tor-ah5-6-laddobbo-2721%2F%3Fsize%3D54-58,Laddobbo
"Одежда, обувь и аксессуары/Обувь/Обувь для девочек/Сапоги",,Сапоги,11599.00,"gender:Женский|Размер:34|Цвет:Синий|Пол:Женский|Возраст:Детский|Материал:Кожа, Текстиль",https://www.bebakids.ru/upload/iblock/m/f09/165595_44_1.jpeg,4699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsapogi-b1999aq3-sho.e.b.76-44%2F%3Fsize%3D34,Sho.e.b.76
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Брюки",,Брюки,5199.00,"gender:Мужской|Размер:98|Цвет:Бежевый|Пол:Мужской|Возраст:Детский|Материал:Хлопок-98%, Эластан-2%",https://www.bebakids.ru/upload/iblock/m/f29/112655_4143_1.jpeg,1499.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fbryuki-71ku25801-gaudi-4143%2F%3Fsize%3D98,Gaudi
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Футболки",,Футболка,2799.00,gender:Мужской|Размер:98|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/f07/149036_4628_1.jpeg,899.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Ffutbolka-sg7367-street-gang-4628%2F%3Fsize%3D98,Street Gang
"Одежда, обувь и аксессуары/Аксессуары/Сумки и чемоданы",,Сумка,4999.00,gender:Женский|Размер:UNI|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Полиэстер-100%,https://www.bebakids.ru/upload/iblock/m/5a1/150806_728_1.jpeg,1599.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fsumka-28610-207-noble-people-728%2F%3Fsize%3D%25C5%25E4%25E8%25ED%25FB%25E9%2B%25F8%25EA%25EE%25EB%25E0,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Футболки",,Лонгслив,2599.00,"gender:Мужской|Размер:128|Цвет:Синий|Пол:Мужской|Возраст:Детский|Материал:Хлопок-97%, Эластан-3%",https://www.bebakids.ru/upload/iblock/m/2d5/151470_44_1.jpeg,799.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Flongsliv-by2115-y-clu-44%2F%3Fsize%3D128,Y-clu'
"Одежда, обувь и аксессуары/Детская одежда/Для девочек/Головные уборы",,Шапка,1699.00,gender:Женский|Размер:52-54|Цвет:Голубой|Пол:Женский|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/0b3/90048_19_1.jpeg,399.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fshapka-klassik-neonovye-zvezdy-29515-1137-noble-people-19%2F%3Fsize%3D52-54,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Головные уборы",,Шапка,1999.00,gender:Мужской|Размер:50-52|Цвет:Желтый|Пол:Мужской|Возраст:Детский|Материал:Хлопок-100%,https://www.bebakids.ru/upload/iblock/m/5ce/120089_34_1.jpeg,699.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fshapka-bebi-shevron-19515-1616-noble-people-34%2F%3Fsize%3D50-52,Noble People
"Одежда, обувь и аксессуары/Детская одежда/Для мальчиков/Верхняя одежда",,Полупальто,7299.00,"gender:Мужской|Размер:122|Цвет:Черный|Пол:Мужской|Возраст:Детский|Материал:Полиэстер-65%, Вискоза-35%",https://www.bebakids.ru/upload/iblock/m/a2c/120488_2272_1.jpeg,2999.00,https://ad.admitad.com/g/321b5af526b1853a87337f2bf10faa/?i=5&f_id=2587&ulp=https%3A%2F%2Fwww.bebakids.ru%2Fitem%2Fpolupalto-g171-mamma-mila-2272%2F%3Fsize%3D122,Mamma Mila
